"state","cap_dist_met","cap_dist_imp","city_dist_met","city_dist_imp","geo_dist_met","geo_dist_imp"
"United States","1331.35","827.27","1605.76","997.77","654.00","406.38"
"Alabama","  84.76"," 52.67","  57.22"," 35.55"," 26.32"," 16.36"
"Alaska"," 876.28","544.49","  58.47"," 36.33","343.96","213.73"
"Arizona","  21.41"," 13.30","  21.42"," 13.31","102.62"," 63.76"
"Arkansas","  54.06"," 33.59","  55.29"," 34.36"," 33.80"," 21.00"
"California"," 393.39","244.44"," 185.66","115.36","191.96","119.28"
"Colorado","  31.63"," 19.65","  31.32"," 19.46"," 64.49"," 40.07"
"Connecticut","  34.09"," 21.18","  43.95"," 27.31"," 18.31"," 11.38"
"Delaware","  22.08"," 13.72","  42.35"," 26.31"," 41.35"," 25.70"
"District of Columbia","   2.54","  1.58","   1.97","  1.23","  0.03","  0.02"
"Florida"," 389.13","241.79"," 279.35","173.58","120.31"," 74.76"
"Georgia","  63.50"," 39.45","  62.54"," 38.86"," 91.60"," 56.92"
"Hawaii","  41.50"," 25.79","  44.28"," 27.51","147.52"," 91.66"
"Idaho"," 108.38"," 67.34"," 106.59"," 66.23"," 47.42"," 29.46"
"Illinois"," 198.42","123.30","  91.35"," 56.76","154.40"," 95.94"
"Indiana","  41.00"," 25.48","  43.26"," 26.88"," 28.45"," 17.68"
"Iowa","  62.58"," 38.88","  61.14"," 37.99"," 40.62"," 25.24"
"Kansas","  92.72"," 57.62"," 115.42"," 71.72","167.14","103.85"
"Kentucky","  53.52"," 33.25","  65.37"," 40.62"," 32.60"," 20.26"
"Louisiana","  46.00"," 28.58"," 162.63","101.06"," 60.47"," 37.58"
"Maine","   3.49","  2.17","  82.34"," 51.17","125.27"," 77.84"
"Maryland","  31.73"," 19.72","  23.09"," 14.35","  9.57","  5.95"
"Massachusetts","  27.98"," 17.38","  26.90"," 16.72"," 36.68"," 22.79"
"Michigan","  32.06"," 19.92"," 112.39"," 69.84","190.71","118.50"
"Minnesota","  47.00"," 29.20","  34.84"," 21.65","132.75"," 82.49"
"Mississippi","  66.21"," 41.14","  65.51"," 40.70"," 18.20"," 11.31"
"Missouri","  16.61"," 10.32"," 219.87","136.62"," 23.86"," 14.83"
"Montana","  59.73"," 37.11"," 242.32","150.57","129.84"," 80.68"
"Nebraska","  67.37"," 41.86"," 110.68"," 68.77","211.10","131.17"
"Nevada"," 391.00","242.96"," 135.25"," 84.04","257.29","159.87"
"New Hampshire","  10.15","  6.31","  17.72"," 11.01"," 59.32"," 36.86"
"New Jersey","  36.10"," 22.43","  40.32"," 25.05"," 33.74"," 20.96"
"New Mexico"," 120.50"," 74.87","  55.35"," 34.40"," 33.51"," 20.82"
"New York"," 146.42"," 90.98"," 101.82"," 63.27","178.09","110.66"
"North Carolina","  95.71"," 59.47"," 113.13"," 70.30"," 24.55"," 15.26"
"North Dakota"," 126.32"," 78.49"," 197.95","123.00"," 87.87"," 54.60"
"Ohio","  58.19"," 36.16","  58.25"," 36.19"," 18.90"," 11.74"
"Oklahoma","  64.56"," 40.12","  63.28"," 39.32"," 59.54"," 37.00"
"Oregon","  40.80"," 25.35","  87.09"," 54.12","184.84","114.86"
"Pennsylvania","  23.71"," 14.73"," 166.55","103.49"," 81.54"," 50.67"
"Rhode Island","   8.14","  5.06","   8.45","  5.25"," 12.28","  7.63"
"South Carolina","   3.57","  2.22","   3.50","  2.18"," 16.05","  9.97"
"South Dakota"," 113.53"," 70.54"," 189.88","117.98","108.73"," 67.56"
"Tennessee","  55.17"," 34.28"," 342.40","212.76","  5.61","  3.49"
"Texas","  80.07"," 49.75"," 230.23","143.06","197.66","122.82"
"Utah","  39.44"," 24.51","  40.12"," 24.93","123.95"," 77.02"
"Vermont","  27.29"," 16.96","  52.84"," 32.83"," 12.39","  7.70"
"Virginia","  43.15"," 26.81"," 194.12","120.62"," 97.33"," 60.48"
"Washington"," 101.52"," 63.08","  61.73"," 38.36"," 88.63"," 55.07"
"West Virginia","  92.88"," 57.71","  92.81"," 57.67"," 19.63"," 12.20"
"Wisconsin","  77.88"," 48.39"," 117.82"," 73.21","127.09"," 78.97"
"Wyoming"," 252.07","156.63"," 251.41","156.22"," 54.70"," 33.99"
