"state","city","latitude","longitude","population"
"New York","New York",40.7127837,-74.0059413,8405837
"California","Los Angeles",34.0522342,-118.2436849,3884307
"Illinois","Chicago",41.8781136,-87.6297982,2718782
"Texas","Houston",29.7604267,-95.3698028,2195914
"Pennsylvania","Philadelphia",39.9525839,-75.1652215,1553165
"Arizona","Phoenix",33.4483771,-112.0740373,1513367
"Indiana","Indianapolis",39.768403,-86.158068,843393
"Florida","Jacksonville",30.3321838,-81.655651,842583
"Ohio","Columbus",39.9611755,-82.9987942,822553
"North Carolina","Charlotte",35.2270869,-80.8431267,792862
"Michigan","Detroit",42.331427,-83.0457538,688701
"Tennessee","Memphis",35.1495343,-90.0489801,653450
"Washington","Seattle",47.6062095,-122.3320708,652405
"Colorado","Denver",39.7392358,-104.990251,649495
"District of Columbia","Washington",38.9071923,-77.0368707,646449
"Massachusetts","Boston",42.3600825,-71.0588801,645966
"Maryland","Baltimore",39.2903848,-76.6121893,622104
"Oklahoma","Oklahoma City",35.4675602,-97.5164276,610613
"Kentucky","Louisville/Jefferson County",38.2526647,-85.7584557,609893
"Oregon","Portland",45.5230622,-122.6764816,609456
"Nevada","Las Vegas",36.1699412,-115.1398296,603488
"Wisconsin","Milwaukee",43.0389025,-87.9064736,599164
"New Mexico","Albuquerque",35.0853336,-106.6055534,556495
"Missouri","Kansas City",39.0997265,-94.5785667,467007
"Virginia","Virginia Beach",36.8529263,-75.977985,448479
"Georgia","Atlanta",33.7489954,-84.3879824,447841
"Nebraska","Omaha",41.2523634,-95.9979883,434353
"Minnesota","Minneapolis",44.977753,-93.2650108,400070
"Kansas","Wichita",37.688889,-97.336111,386552
"Louisiana","New Orleans",29.9510658,-90.0715323,378715
"Hawaii","Honolulu",21.3069444,-157.8583333,347884
"Alaska","Anchorage",61.2180556,-149.9002778,300950
"New Jersey","Newark",40.735657,-74.1723667,278427
"Idaho","Boise City",43.6187102,-116.2146068,214237
"Alabama","Birmingham",33.5206608,-86.80249,212113
"Iowa","Des Moines",41.6005448,-93.6091064,207510
"Arkansas","Little Rock",34.7464809,-92.2895948,197357
"Utah","Salt Lake City",40.7607793,-111.8910474,191180
"Rhode Island","Providence",41.8239891,-71.4128343,177994
"Mississippi","Jackson",32.2987573,-90.1848103,172638
"South Dakota","Sioux Falls",43.5445959,-96.7311034,164676
"Connecticut","Bridgeport",41.1865478,-73.1951767,147216
"South Carolina","Columbia",34.0007104,-81.0348144,133358
"North Dakota","Fargo",46.8771863,-96.7898034,113658
"New Hampshire","Manchester",42.9956397,-71.4547891,110378
"Montana","Billings",45.7832856,-108.5006904,109059
"Delaware","Wilmington",39.7390721,-75.5397878,71525
"Maine","Portland",43.661471,-70.2553259,66318
"Wyoming","Cheyenne",41.1399814,-104.8202462,62448
"West Virginia","Charleston",38.3498195,-81.6326234,50821
"Vermont","Burlington",44.4758825,-73.212072,42284
"United States","New York, NY",40.7127837,-74.0059413,8405837
