"name","capital","lat","long"
"Alabama","Montgomery, AL",32.361538,-86.279118
"Alaska","Juneau, AK",58.301935,-134.41974
"Arizona","Phoenix, AZ",33.448457,-112.073844
"Arkansas","Little Rock, AR",34.736009,-92.331122
"California","Sacramento, CA",38.555605,-121.468926
"Colorado","Denver, CO",39.7391667,-104.984167
"Connecticut","Hartford, CT",41.767,-72.677
"Delaware","Dover, DE",39.161921,-75.526755
"Florida","Tallahassee, FL",30.4518,-84.27277
"Georgia","Atlanta, GA",33.76,-84.39
"Hawaii","Honolulu, HI",21.30895,-157.826182
"Idaho","Boise, ID",43.613739,-116.237651
"Illinois","Springfield, IL",39.78325,-89.650373
"Indiana","Indianapolis, IN",39.790942,-86.147685
"Iowa","Des Moines, IA",41.590939,-93.620866
"Kansas","Topeka, KS",39.04,-95.69
"Kentucky","Frankfort, KY",38.197274,-84.86311
"Louisiana","Baton Rouge, LA",30.45809,-91.140229
"Maine","Augusta, ME",44.323535,-69.765261
"Maryland","Annapolis, MD",38.972945,-76.501157
"Massachusetts","Boston, MA",42.2352,-71.0275
"Michigan","Lansing, MI",42.7335,-84.5467
"Minnesota","Saint Paul, MN",44.95,-93.094
"Mississippi","Jackson, MS",32.32,-90.207
"Missouri","Jefferson City, MO",38.572954,-92.189283
"Montana","Helena, MT",46.595805,-112.027031
"Nebraska","Lincoln, NE",40.809868,-96.675345
"Nevada","Carson City, NV",39.160949,-119.753877
"New Hampshire","Concord, NH",43.220093,-71.549127
"New Jersey","Trenton, NJ",40.221741,-74.756138
"New Mexico","Santa Fe, NM",35.667231,-105.964575
"New York","Albany, NY",42.659829,-73.781339
"North Carolina","Raleigh, NC",35.771,-78.638
"North Dakota","Bismarck, ND",46.813343,-100.779004
"Ohio","Columbus, OH",39.962245,-83.000647
"Oklahoma","Oklahoma City, OK",35.482309,-97.534994
"Oregon","Salem, OR",44.931109,-123.029159
"Pennsylvania","Harrisburg, PA",40.269789,-76.875613
"Rhode Island","Providence, RI",41.82355,-71.422132
"South Carolina","Columbia, SC",34,-81.035
"South Dakota","Pierre, SD",44.367966,-100.336378
"Tennessee","Nashville, TN",36.165,-86.784
"Texas","Austin, TX",30.266667,-97.75
"Utah","Salt Lake City, UT",40.7547,-111.892622
"Vermont","Montpelier, VT",44.26639,-72.57194
"Virginia","Richmond, VA",37.54,-77.46
"Washington","Olympia, WA",47.042418,-122.893077
"West Virginia","Charleston, WV",38.349497,-81.633294
"Wisconsin","Madison, WI",43.074722,-89.384444
"Wyoming","Cheyenne, WY",41.145548,-104.802042
"United States","Washington, D.C.",38.89511,-77.03637
"District of Columbia","Washington, D.C.",38.89511,-77.03637
