State,1880 North Lat,1880 West Long,1890 North Lat,1890 West Long,1900 North Lat,1900 West Long,1910 North Lat,1910 West Long,1920 North Lat,1920 West Long,1930 North Lat,1930 West Long,1940 North Lat,1940 West Long,1950 North Lat,1950 West Long,1960 North Lat,1960 West Long,1970 North Lat,1970 West Long,1980 North Lat,1980 West Long,1990 North Lat,1990 West Long,2000 North Lat,2000 West Long,2010 North Lat,2010 West Long,
Alabama,32 51 09,86 43 16,32 54 38,86 44 46,32 53 13,86 42 18,32 54 07,86 42 29,32 57 26,86 43 21,32 59 01,86 44 36,32 59 25,86 45 13,32 47 09,86 46 41,32 57 16,86 47 32,32 59 28,86 46 39,32 59 32,86 46 30,32 59 48,86 46 27,33 00 05,86 45 58,33 0 29,86 45 25,
Alaska,,,,,,,,,,,,,,,,,61 12 50,148 36 10,61 08 24,148 58 47,61 22 11,148 29 07,61 11 51,148 43 57,61 17 18,148 43 01,61 23 60,148 52 26,
Arizona,33 17 36,111 25 32,33 15 51,111 25 39,33 34 20,111 15 58,33 24 18,110 59 38,33 21 03,111 12 55,33 18 40,111 44 02,33 20 24,111 49 26,33 22 11,111 31 55,33 15 41,111 30 19,33 17 09,111 41 15,33 19 29,111 43 06,33 21 08,111 46 13,33 22 25,111 49 43,33 22 06,111 51 52,
Arkansas,34 55 41,92 30 25  ,34 57 35 ,92 29 41,34 56 18,92 28 27,34 55 16,92 25 08,34 55 14,92 20 48,34 54 05,92 21 05,34 57 32,92 26 10,34 54 54,92 13 43,34 52 19,92 10 48,34 54 52,92 21 05,34 58 18,92 26 03,35 00 40,92 29 15,35 04 49,92 34 37,35 08 33,92 39 19,
California,37 55 55,121 27 42,37 25 35,121 02 20,37 14 26,120 53 11,36 42 29,120 31 23,36 20 23,120 10 54,35 43 12,119 41 06,35 38 27,119 35 18,35 44 46,119 39 01,35 30 13,119 31 13,35 28 03,119 28 31,35 28 29,119 26 17,35 26 35,119 21 44,35 27 31,119 21 19,35 27 49,119 19 31,
Colorado,39 05 23,105 32 53,39 09 52,105 14 10,39 05 45,105 16 05,39 11 53,105 11 28,39 14 53,105 01 24,39 13 07,104 58 24,39 13 42,105 05 46,39 20 32,105 05 57,39 22 40,105 08 04,39 26 37,105 07 36,39 29 11,105 10 52,39 29 34,105 11 18,39 30 02,105 12 13,39 30 48,105 12 29,
Connecticut,41 32 49,72 46 21,41 31 41,72 48 00,41 31 23,72 49 06,41 30 54,72 50 20,41 30 08,72 51 47,41 32 11,72 53 22,41 32 12,72 53 29,41 30 33,72 52 57,41 32 11,72 53 00,41 29 17,72 52 38,41 29 26,72 52 34,41 29 49,72 52 10,41 29 41,72 52 28,41 29 49,72 52 13,
Delaware,39 09 50,75 35 30,39 11 09,75 35 36,39 11 35,75 35 09,39 11 49,75 35 06,39 25 14,75 32 09,39 20 21,75 33 04,39 20 09,75 32 60,39 24 43,75 33 14,39 27 51,75 33 03,39 28 44,75 33 33,39 26 42,75 33 49,39 26 01,75 33 59,39 23 50,75 33 43,39 21 32,75 33 25,
District of Columbia,,,,,,,,,,,38 53 27,77 00 60,38 53 27,77 00 60,38 53 51,77 00 33,38 54 23,77 01 00,38 54 22,77 00 29,38 54 27,77 00 32,38 54 31,77 00 43,38 54 36,77 00 50,38 54 37,77 00 52,
Florida,29 43 40,83 17 00,29 29 15,83 03 28,29 28 40,83 07 19,29 19 30,83 00 32,29 04 36,82 46 42,28 40 23,82 23 05,28 28 29,82 15 19,28 15 09,82 05 47,28 06 05,81 39 30,27 51 49,81 43 32,27 47 41,81 40 25,27 47 60,81 39 10,27 47 45,81 38 05,27 49 22,81 38 05,
